epoch,train_loss,val_loss,mape_pct,rmse_dollar,mae_dollar,max_abs_err_dollar,r2,lr
1,0.14110878549382358,0.03714143857359886,682860478464.0,0.8185029625892639,0.4749290645122528,6.175836563110352,0.9028394818305969,0.001
2,0.034271076645055215,0.011568000540137291,1170425905152.0,0.3981189429759979,0.22151803970336914,3.324197292327881,0.9770134091377258,0.001
3,0.021317857551851314,0.008400684222579002,1109222359040.0,0.35846924781799316,0.20583981275558472,3.1173553466796875,0.9813639521598816,0.001
4,0.016269436304061535,0.004854497965425253,385098940416.0,0.2563987672328949,0.1445140689611435,2.300046920776367,0.9904658794403076,0.001
5,0.013831797769728179,0.004943319130688906,618472407040.0,0.26078543066978455,0.1430034339427948,2.6025171279907227,0.9901368618011475,0.001
6,0.01137346955306248,0.003814960829913616,88049950720.0,0.2241012156009674,0.1278504729270935,1.9765148162841797,0.9927165508270264,0.001
7,0.009687385283421703,0.0030427423771470785,137993732096.0,0.19680586457252502,0.11565064638853073,1.9739055633544922,0.9943827390670776,0.001
8,0.008156677002566838,0.0030303378589451313,72430190592.0,0.2558676600456238,0.1422114074230194,2.169200897216797,0.9905053377151489,0.001
9,0.007806766939957342,0.004394277464598417,23245301760.0,0.3185447156429291,0.18379467725753784,2.571432113647461,0.9852839708328247,0.001
10,0.006953569011648415,0.0029752205591648817,80622313472.0,0.25378599762916565,0.14534282684326172,2.2632055282592773,0.9906591773033142,0.001
11,0.0059928350306735064,0.0016449796967208385,196986732544.0,0.16995544731616974,0.08993057161569595,1.9287347793579102,0.9958109259605408,0.001
12,0.005466011485285655,0.0023570512421429157,80230219776.0,0.25522732734680176,0.13811631500720978,2.227214813232422,0.9905527830123901,0.001
13,0.005146238388225971,0.0021256115287542343,52314570752.0,0.20687802135944366,0.12013956904411316,1.6406869888305664,0.9937930703163147,0.001
14,0.005130408282954982,0.001787561341188848,95210323968.0,0.1581953465938568,0.08752159029245377,1.491002082824707,0.9963705539703369,0.001
15,0.0044768922014195404,0.0023623835295438766,26366478336.0,0.1923031508922577,0.10530790686607361,1.6180486679077148,0.9946368336677551,0.001
16,0.004660085143387585,0.006632321514189243,18179956736.0,0.5060533285140991,0.2814805805683136,2.754453182220459,0.9628599882125854,0.001
17,0.004062103504917311,0.0015313125913962722,26564012032.0,0.2313825935125351,0.120817169547081,2.0173025131225586,0.992235541343689,0.001
18,0.003615912139237284,0.0018350067548453808,23041798144.0,0.18246281147003174,0.1027938649058342,1.6174240112304688,0.9951716661453247,0.001
19,0.0035599054981993433,0.0014285678043961525,49789718528.0,0.22485554218292236,0.11809957772493362,2.028815269470215,0.9926674365997314,0.001
20,0.002997084263528134,0.0009359296527691185,75780694016.0,0.12023870646953583,0.07127536088228226,1.3921403884887695,0.9979032874107361,0.001
21,0.0030282388296965397,0.000832214776892215,2475.42431640625,0.11854694038629532,0.061406105756759644,1.4212284088134766,0.9979618787765503,0.001
22,0.0027757894086043633,0.0008715502335689962,46584164352.0,0.13665835559368134,0.07433834671974182,1.438680648803711,0.9972915649414062,0.001
23,0.0026385859526348063,0.0013643646379932761,1460831.25,0.16931889951229095,0.0957629457116127,1.5781784057617188,0.9958422183990479,0.001
24,0.0026261218744023387,0.0007208752795122564,63857438720.0,0.10171923786401749,0.059881485998630524,1.1275577545166016,0.9984994530677795,0.001
25,0.0024424005776621446,0.0026539810933172703,7418093568.0,0.34561097621917725,0.1818409562110901,2.098689079284668,0.9826769232749939,0.001
26,0.002310201278915573,0.0008177942945621908,17933424640.0,0.10741345584392548,0.0625174343585968,1.064767837524414,0.9983267188072205,0.001
27,0.002219587387405559,0.0010568095603957772,1359.814208984375,0.1318328082561493,0.07636091113090515,1.3406867980957031,0.9974794387817383,0.001
28,0.0021681605599831767,0.0034983446821570396,812.1051025390625,0.34640032052993774,0.2060576230287552,1.9739055633544922,0.9825977087020874,0.001
29,0.0021549235070180035,0.0013374616391956806,58722398208.0,0.2281225472688675,0.11791353672742844,1.6160993576049805,0.9924528002738953,0.001
30,0.0018857236567140184,0.0008413699106313288,16927865856.0,0.1669994294643402,0.0889914408326149,1.3601932525634766,0.9959553480148315,0.001
31,0.001853265310916492,0.0008602048037573695,877.9417724609375,0.15050935745239258,0.07916125655174255,1.403691291809082,0.99671471118927,0.001
32,0.0017871281318924206,0.0022415067069232464,350.3771667480469,0.2155187577009201,0.1335027515888214,1.4466228485107422,0.9932637214660645,0.001
