Date,JPM,BAC,WFC,C
2015-12-23,50.202720642089844,13.777503967285156,40.82978820800781,38.72863006591797
2015-12-24,50.10491180419922,13.721884727478027,40.66658020019531,38.78749465942383
2015-12-28,49.93941116333008,13.61064624786377,40.5627326965332,38.544673919677734
2015-12-29,50.458518981933594,13.72983169555664,41.015254974365234,38.986175537109375
2015-12-30,50.09739685058594,13.54708194732666,40.71852111816406,38.48579788208008
2015-12-31,49.67609405517578,13.372282981872559,40.32535934448242,38.081077575683594
2016-01-04,48.18407440185547,13.054461479187012,39.249717712402344,37.62482833862305
2016-01-05,48.26738739013672,13.054461479187012,39.23487091064453,37.42613983154297
2016-01-06,47.57060623168945,12.77637004852295,38.48564147949219,36.88160705566406
2016-01-07,45.64686965942383,12.315529823303223,37.38773727416992,34.997779846191406
2016-01-08,44.62441635131836,12.077165603637695,36.764610290527344,33.94551086425781
2016-01-11,44.556251525878906,12.164566993713379,37.157779693603516,34.4753303527832
2016-01-12,44.65470886230469,12.164566993713379,38.09988784790039,34.49739456176758
2016-01-13,43.42778396606445,11.838797569274902,36.89073181152344,33.25379943847656
2016-01-14,44.0791015625,11.910306930541992,37.565773010253906,33.39360809326172
2016-01-15,43.2005615234375,11.4891996383667,36.215675354003906,31.252229690551758
2016-01-19,43.17782974243164,11.314398765563965,35.76315689086914,30.862226486206055
2016-01-20,42.041770935058594,10.877394676208496,35.51094055175781,29.79523277282715
2016-01-21,41.84486389160156,10.615193367004395,35.61479187011719,29.545034408569336
2016-01-22,43.13238525390625,10.774102210998535,36.36402893066406,30.214664459228516
2016-01-25,42.15538787841797,10.297372817993164,35.35516357421875,29.10350799560547
2016-01-26,43.23085021972656,10.57546615600586,35.80023956298828,29.802574157714844
2016-01-27,43.2005615234375,10.615193367004395,36.03020095825195,29.846731185913086
2016-01-28,43.3823127746582,10.750265121459961,36.28983688354492,29.75830841064453
2016-01-29,45.06369400024414,11.234941482543945,37.261634826660156,31.37185287475586
2016-02-01,44.5789680480957,11.091919898986816,37.04651641845703,31.298187255859375
2016-02-02,43.19298553466797,10.511899948120117,36.223079681396484,29.780405044555664
2016-02-03,43.480770111083984,10.352988243103027,35.583919525146484,29.736215591430664
2016-02-04,44.2305793762207,10.527789115905762,36.06985092163086,30.05302619934082
2016-02-05,43.7382926940918,10.28942584991455,35.778282165527344,29.367828369140625
2016-02-08,42.82187271118164,9.749135971069336,34.76160430908203,27.857437133789062
2016-02-09,42.56436538696289,9.693512916564941,34.72422790527344,27.636404037475586
2016-02-10,42.04935073852539,9.518712997436523,34.51490783691406,27.562732696533203
2016-02-11,40.193782806396484,8.867181777954102,33.75987243652344,25.772363662719727
2016-02-12,43.54137420654297,9.494876861572266,35.36712646484375,27.658506393432617
2016-02-16,44.19271469116211,9.733241081237793,36.062355041503906,28.65314483642578
2016-02-17,44.51081848144531,9.979554176330566,35.98012924194336,29.308881759643555
2016-02-18,43.783729553222656,9.725296974182129,35.68109130859375,28.67525863647461
2016-02-19,43.79130554199219,9.637894630432129,35.95022964477539,28.726837158203125
2016-02-22,44.35933303833008,9.963663101196289,36.772552490234375,29.117324829101562
2016-02-23,42.5037727355957,9.661730766296387,35.95769119262695,28.15951156616211
2016-02-24,42.5189208984375,9.637894630432129,35.591400146484375,28.063743591308594
2016-02-25,43.17782974243164,9.788860321044922,35.69606018066406,28.454221725463867
2016-02-26,43.57924270629883,10.090787887573242,35.93526840209961,29.10257911682129
2016-02-29,42.64008712768555,9.947768211364746,35.07558822631836,28.62368392944336
2016-03-01,44.836490631103516,10.48011589050293,36.42119216918945,30.406692504882812
2016-03-02,45.26060104370117,10.695464134216309,37.056617736816406,31.106609344482422
2016-03-03,45.41209030151367,10.767247200012207,37.20613098144531,31.556058883666992
2016-03-04,45.48024368286133,10.799148559570312,37.460296630859375,31.556058883666992
2016-03-07,45.396942138671875,10.791170120239258,37.43040084838867,31.393953323364258
2016-03-08,44.51839065551758,10.416314125061035,36.667877197265625,30.244598388671875
2016-03-09,44.77587890625,10.480118751525879,36.4735221862793,30.318260192871094
2016-03-10,44.38962173461914,10.583805084228516,36.264198303222656,30.48035430908203
2016-03-11,44.942508697509766,10.998542785644531,37.43040084838867,31.673938751220703
